finding_id,finding_title,disposition,coverage_mode,property_role,adapter,canonical_id,name,address,city,state,zip,website,acceptance_contract,evidence_file,evidence_line,test_selectors
4,UDR July collision candidate is cleared on the current branch,cleared_control,explicit_audit_scope,regression_control,udr,2958,Newport Village I,4757 W Braddock Rd,Alexandria,VA,22311,https://www.udr.com/washington-dc-apartments/alexandria/newport-village,Current UDR identity remains collision-free.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,245,ma_poc/tests/pms/adapters/test_udr_jsonld.py
4,UDR July collision candidate is cleared on the current branch,cleared_control,explicit_audit_scope,regression_control,udr,8179,Cambridge Woods,14138 Monterey Pines Dr,Tampa,FL,33613,https://www.udr.com/tampa-apartments/university-center/cambridge-woods/contact-us/,Current UDR identity remains collision-free.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,245,ma_poc/tests/pms/adapters/test_udr_jsonld.py
4,UDR July collision candidate is cleared on the current branch,cleared_control,explicit_audit_scope,regression_control,udr,30751,Commons at Windsor Gardens,624 Walpole St,Norwood,MA,2062,https://www.udr.com/boston-apartments/norwood/the-commons-at-windsor-gardens/,Current UDR identity remains collision-free.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,245,ma_poc/tests/pms/adapters/test_udr_jsonld.py
5,Knock July collision candidate is cleared on the current branch,cleared_control,explicit_audit_scope,regression_control,knock,1783,Madison at Largo,601 Rosery Rd NE,Largo,FL,33770,https://gscapts.com/apartments/florida/madison-at-largo/,Current Knock UUID identity remains collision-free.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,268,ma_poc/tests/pms/adapters/test_knock.py
5,Knock July collision candidate is cleared on the current branch,cleared_control,explicit_audit_scope,regression_control,knock,2305,Sun Lake Apartments,420 Sun Lake Cir,Lake Mary,FL,32746,www.livesunlake.com,Current Knock UUID identity remains collision-free.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,268,ma_poc/tests/pms/adapters/test_knock.py
5,Knock July collision candidate is cleared on the current branch,cleared_control,explicit_audit_scope,regression_control,knock,221319,Royal Park,501 HWY 54 Bypass,Carrboro,NC,27510,https://gscapts.com/apartments/north-carolina/royal-park/,Current Knock UUID identity remains collision-free.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,268,ma_poc/tests/pms/adapters/test_knock.py
5,Knock July collision candidate is cleared on the current branch,cleared_control,explicit_audit_scope,regression_control,knock,281928,Mosby Citrus Ridge,130 Orlando Breeze Cir,Davenport,FL,33897,https://www.mosbycitrusridge.com/?utm_source=GBP&utm_medium=organic&utm_knock=g,Current Knock UUID identity remains collision-free.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,268,ma_poc/tests/pms/adapters/test_knock.py
6,AppFolio rejects Wisconsin grid addresses as identity,confirmed_remediated,explicit_audit_scope,affected,appfolio,241643,Jade at North Hills,N72W12727 Good Hope Rd,Menomonee Falls,WI,53051,https://www.movetojade.com/,Wisconsin grid addresses and native listing IDs keep all physical apartments distinct.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,293,ma_poc/tests/pms/adapters/test_appfolio_wisconsin_grid_identity.py
7,Venterra keeps the unique unit code only as provenance,confirmed_remediated,explicit_audit_scope,affected,venterra,14524,Canton Mill Lofts,550 Riverstone Pkwy,Canton,GA,30114,https://venterraliving.com/apartments/canton-mill-lofts/,Native unit code is canonical; the short public label remains display metadata.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,352,ma_poc/tests/pms/adapters/test_venterra.py
7,Venterra keeps the unique unit code only as provenance,confirmed_remediated,explicit_audit_scope,affected,venterra,30237,Forest View,4545 S Panther Creek Dr,The Woodlands,TX,77381,https://venterraliving.com/apartments/forest-view/,Native unit code is canonical; the short public label remains display metadata.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,352,ma_poc/tests/pms/adapters/test_venterra.py
7,Venterra keeps the unique unit code only as provenance,confirmed_remediated,explicit_audit_scope,affected,venterra,33327,The Parker,14140 N Broadway Ext,Edmond,OK,73013,https://venterraliving.com/apartments/the-parker/,Native unit code is canonical; the short public label remains display metadata.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,352,ma_poc/tests/pms/adapters/test_venterra.py
7,Venterra keeps the unique unit code only as provenance,confirmed_remediated,explicit_audit_scope,affected,venterra,48177,The Metropolitan,2612 Whitehall Terrace,Louisville,KY,40220,https://venterraliving.com/apartments/the-metropolitan/,Native unit code is canonical; the short public label remains display metadata.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,352,ma_poc/tests/pms/adapters/test_venterra.py
8,Cortland drops both building and native apartment identity,confirmed_remediated,explicit_audit_scope,affected,cortland,3181,Cortland Mirror Lake,700 Post Lake Pl,Apopka,FL,32703,https://cortland.com/apartments/cortland-mirror-lake/,Native apartment and building identity survive both modern and legacy Cortland cards.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,391,ma_poc/tests/pms/adapters/test_cortland_cards.py
8,Cortland drops both building and native apartment identity,confirmed_remediated,explicit_audit_scope,affected,cortland,34500,Cortland Brier Creek,7920 Oak Estate St,Raleigh,NC,27617,https://cortland.com/apartments/cortland-brier-creek/,Native apartment and building identity survive both modern and legacy Cortland cards.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,391,ma_poc/tests/pms/adapters/test_cortland_cards.py
8,Cortland drops both building and native apartment identity,confirmed_remediated,explicit_audit_scope,affected,cortland,255134,Cortland Royal Palm Beach,11200 Nicole Dr,Royal Palm Beach,FL,33414,https://cortland.com/apartments/the-villas-at-tuttle-royale/,Native apartment and building identity survive both modern and legacy Cortland cards.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,391,ma_poc/tests/pms/adapters/test_cortland_cards.py
9,Cortland emits fee-inclusive price as base rent,confirmed_remediated,explicit_audit_scope,affected,cortland,2982,Cortland on Pike,1850 Columbia Pike,Arlington,VA,22204,https://cortland.com/apartments/cortland-on-pike/,Base rent remains separate from fee-inclusive total monthly rent.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,444,ma_poc/tests/pms/adapters/test_cortland_cards.py
9,Cortland emits fee-inclusive price as base rent,confirmed_remediated,explicit_audit_scope,affected,cortland,3181,Cortland Mirror Lake,700 Post Lake Pl,Apopka,FL,32703,https://cortland.com/apartments/cortland-mirror-lake/,Base rent remains separate from fee-inclusive total monthly rent.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,444,ma_poc/tests/pms/adapters/test_cortland_cards.py
9,Cortland emits fee-inclusive price as base rent,confirmed_remediated,explicit_audit_scope,affected,cortland,34500,Cortland Brier Creek,7920 Oak Estate St,Raleigh,NC,27617,https://cortland.com/apartments/cortland-brier-creek/,Base rent remains separate from fee-inclusive total monthly rent.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,444,ma_poc/tests/pms/adapters/test_cortland_cards.py
9,Cortland emits fee-inclusive price as base rent,confirmed_remediated,explicit_audit_scope,affected,cortland,62782,Cortland Alameda Station,415 S Cherokee St,Denver,CO,80223,https://cortland.com/apartments/cortland-alameda-station/,Base rent remains separate from fee-inclusive total monthly rent.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,444,ma_poc/tests/pms/adapters/test_cortland_cards.py
10,G5 substitutes the floor-plan type for apartment identity,confirmed_remediated,explicit_audit_scope,affected,g5,3785,Shadowbrook,3852 S 1845 W,West Valley City,UT,84119,http://www.shadowbrookapartments.com/,Native apartment identity wins over repeated floor-plan type labels.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,471,ma_poc/tests/pms/adapters/test_g5.py
10,G5 substitutes the floor-plan type for apartment identity,confirmed_remediated,explicit_audit_scope,affected,g5,33267,Brookside Village,28700 34th Ave S,Auburn,WA,98001,https://www.brooksidevillageapts.com/,Native apartment identity wins over repeated floor-plan type labels.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,471,ma_poc/tests/pms/adapters/test_g5.py
10,G5 substitutes the floor-plan type for apartment identity,confirmed_remediated,explicit_audit_scope,affected,g5,35934,Hawthorn Village,3663 Solano Ave,Napa,CA,94558,http://www.hawthornvillageapts.com,Native apartment identity wins over repeated floor-plan type labels.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,471,ma_poc/tests/pms/adapters/test_g5.py
11,Harbor Group future dates are lost at the Jugnu boundary,confirmed_remediated,explicit_audit_scope,affected,harbor_group,67524,Riverworks,45 N Main St,Phoenixville,PA,19460,https://www.hgliving.com/apartments/pa/phoenixville/riverworks,Every explicit Harbor future date survives the production formatter.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,526,ma_poc/tests/pms/adapters/test_harbor_group.py|ma_poc/tests/scripts/test_availability_date_contract.py
11,Harbor Group future dates are lost at the Jugnu boundary,confirmed_remediated,explicit_audit_scope,regression_control,harbor_group,4944,Triangle Place,2800 Bainbridge Dr,Durham,NC,27713,https://www.hgliving.com/apartments/nc/durham/triangle-place/,Every explicit Harbor future date survives the production formatter.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,526,ma_poc/tests/pms/adapters/test_harbor_group.py|ma_poc/tests/scripts/test_availability_date_contract.py
11,Harbor Group future dates are lost at the Jugnu boundary,confirmed_remediated,explicit_audit_scope,regression_control,harbor_group,30734,Waterford Village,51 Meadow Ln,Bridgewater,MA,2324,https://www.harborgroupmanagement.com/apartments/MA/Bridgewater/Waterford-Village/,Every explicit Harbor future date survives the production formatter.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,526,ma_poc/tests/pms/adapters/test_harbor_group.py|ma_poc/tests/scripts/test_availability_date_contract.py
12,OneSite adopts a sibling Mark-Taylor property's apartments,confirmed_remediated,explicit_audit_scope,affected,onesite_workflow,14155,Waterside at Ocotillo,4800 S Alma School Rd,Chandler,AZ,85248,https://www.mark-taylor.com/apartments/az/chandler/waterside-at-ocotillo/,Only the configured Mark-Taylor property roster may be admitted.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,583,ma_poc/tests/pms/adapters/test_mark_taylor.py
12,OneSite adopts a sibling Mark-Taylor property's apartments,confirmed_remediated,explicit_audit_scope,affected,onesite_workflow,14538,Mira Santi,800 W Queen Creek Rd,Chandler,AZ,85248,https://www.mark-taylor.com/apartments/az/chandler/mira-santi/,Only the configured Mark-Taylor property roster may be admitted.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,583,ma_poc/tests/pms/adapters/test_mark_taylor.py
12,OneSite adopts a sibling Mark-Taylor property's apartments,confirmed_remediated,explicit_audit_scope,affected,onesite_workflow,16078,San Cervantes,400 N Coronado St,Chandler,AZ,85224,https://www.mark-taylor.com/apartments/az/chandler/san-cervantes/,Only the configured Mark-Taylor property roster may be admitted.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,583,ma_poc/tests/pms/adapters/test_mark_taylor.py
13,SecureCafe legacy rows discard native `UnitID`,confirmed_remediated,explicit_audit_scope,affected,securecafe,43097,Big Creek Apartments and Townhomes,11540 Apache Dr,Parma Heights,OH,44130,https://www.goldbergcompanies.com/big-creek-apartments-parma-heights-oh/?utm_source=GMB&utm_medium=Website,Native SecureCafe UnitID is canonical when published.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,647,ma_poc/tests/pms/adapters/test_rentcafe_rc2.py
13,SecureCafe legacy rows discard native `UnitID`,confirmed_remediated,explicit_audit_scope,affected,securecafe,54743,Twin Oaks,3800 14th St NW,Washington,DC,20011,https://www.twinoaksdc.com/,Native SecureCafe UnitID is canonical when published.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,647,ma_poc/tests/pms/adapters/test_rentcafe_rc2.py
13,SecureCafe legacy rows discard native `UnitID`,confirmed_remediated,explicit_audit_scope,affected,securecafe,60386,The Paramount at South Market,611 O'Keefe Ave,New Orleans,LA,70113,https://www.paramountnola.com/,Native SecureCafe UnitID is canonical when published.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,647,ma_poc/tests/pms/adapters/test_rentcafe_rc2.py
13,SecureCafe legacy rows discard native `UnitID`,confirmed_remediated,explicit_audit_scope,affected,securecafe,239318,Legacy Fort Mill,700 Gates Mills Dr,Fort Mill,SC,29708,http://www.legacyfortmill.com/,Native SecureCafe UnitID is canonical when published.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,647,ma_poc/tests/pms/adapters/test_rentcafe_rc2.py
13,SecureCafe legacy rows discard native `UnitID`,confirmed_remediated,explicit_audit_scope,regression_control,securecafe,232538,Woodman Apartment Homes,8811 Woodman Ave,Arleta,CA,91331,https://www.woodmanapartments.com/,Native SecureCafe UnitID is canonical when published.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,647,ma_poc/tests/pms/adapters/test_rentcafe_rc2.py
14,Generic API fallback deduplicates apartments before using building identity,confirmed_remediated,explicit_audit_scope,affected,generic_spherexx,70255,Coventry Square,20 Charles St,Westwood,NJ,7675,https://coventrysquareapartments.com/,Building/native identity is applied before deduplication.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,703,ma_poc/tests/pms/adapters/test_spherexx.py
14,Generic API fallback deduplicates apartments before using building identity,confirmed_remediated,explicit_audit_scope,affected,generic_spherexx,259386,Fairmount,585 Newark Ave,Elizabeth,NJ,7208,https://www.fairmount-towers.com/,Building/native identity is applied before deduplication.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,703,ma_poc/tests/pms/adapters/test_spherexx.py
14,Generic API fallback deduplicates apartments before using building identity,confirmed_remediated,explicit_audit_scope,affected,generic_spherexx,281149,Irondale at Wharton,47 Kossuth St,Wharton,NJ,7885,http://irondaleatwharton.com/,Building/native identity is applied before deduplication.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,703,ma_poc/tests/pms/adapters/test_spherexx.py
15,The formatter assigns today's date to explicitly unavailable apartments,confirmed_remediated,explicit_audit_scope,affected,shared_formatter,14581,Milano,2500 Woodland Park Dr,Houston,TX,77077,https://www.milanoatwestchase.com/#,Explicitly unavailable rows without a date never receive the capture date.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,757,ma_poc/tests/pms/adapters/test_api_parser_available_flag.py
15,The formatter assigns today's date to explicitly unavailable apartments,confirmed_remediated,explicit_audit_scope,affected,shared_formatter,37143,Village of Cross Creek,7536 Hillcrest Dr,Florence,KY,41042,www.villageofcrosscreek.com,Explicitly unavailable rows without a date never receive the capture date.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,757,ma_poc/tests/pms/adapters/test_api_parser_available_flag.py
15,The formatter assigns today's date to explicitly unavailable apartments,confirmed_remediated,explicit_audit_scope,affected,shared_formatter,56166,Village at Crown Woods,9201 Riverside Pkwy,Tulsa,OK,74137,https://www.crownwoodsvillagelc.com/,Explicitly unavailable rows without a date never receive the capture date.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,757,ma_poc/tests/pms/adapters/test_api_parser_available_flag.py
15,The formatter assigns today's date to explicitly unavailable apartments,confirmed_remediated,explicit_audit_scope,affected,shared_formatter,258143,Alleia Long Meadow Farms,5600 Berkeley Knl Cir,Richmond,TX,77407,https://www.alleialongmeadow.com/#hero,Explicitly unavailable rows without a date never receive the capture date.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,757,ma_poc/tests/pms/adapters/test_api_parser_available_flag.py
16,UDR building-safe identity disconnects every source availability date,confirmed_remediated,complete_20_property_cohort,affected,udr,2709,Wellington Place at Olde Town,10303 7th Regiment Dr,Manassas,VA,20110,https://www.udr.com/washington-dc-apartments/manassas/wellington-place-at-olde-town/,Join UDR dates by native apartment ID first; preserve all source dates and existing canonical IDs.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,814,ma_poc/tests/pms/adapters/test_udr_jsonld.py|ma_poc/tests/scripts/test_availability_date_contract.py
16,UDR building-safe identity disconnects every source availability date,confirmed_remediated,complete_20_property_cohort,affected,udr,2957,Arbor Park of Alexandria,6340 Wingate St,Alexandria,VA,22312,http://arborparkofalexandria.com,Join UDR dates by native apartment ID first; preserve all source dates and existing canonical IDs.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,814,ma_poc/tests/pms/adapters/test_udr_jsonld.py|ma_poc/tests/scripts/test_availability_date_contract.py
16,UDR building-safe identity disconnects every source availability date,confirmed_remediated,complete_20_property_cohort,affected,udr,2958,Newport Village I,4757 W Braddock Rd,Alexandria,VA,22311,https://www.udr.com/washington-dc-apartments/alexandria/newport-village,Join UDR dates by native apartment ID first; preserve all source dates and existing canonical IDs.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,814,ma_poc/tests/pms/adapters/test_udr_jsonld.py|ma_poc/tests/scripts/test_availability_date_contract.py
16,UDR building-safe identity disconnects every source availability date,confirmed_remediated,complete_20_property_cohort,affected,udr,3749,Highlands of Marin,1001 Cresta Way,San Rafael,CA,94903,https://www.udr.com/san-francisco-bay-area-apartments/san-rafael/highlands-of-marin/,Join UDR dates by native apartment ID first; preserve all source dates and existing canonical IDs.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,814,ma_poc/tests/pms/adapters/test_udr_jsonld.py|ma_poc/tests/scripts/test_availability_date_contract.py
16,UDR building-safe identity disconnects every source availability date,confirmed_remediated,complete_20_property_cohort,affected,udr,4752,Regatta Shores,2335 W Seminole Blvd,Sanford,FL,32771,https://www.udr.com/orlando-apartments/north-sanford/regatta-shores/,Join UDR dates by native apartment ID first; preserve all source dates and existing canonical IDs.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,814,ma_poc/tests/pms/adapters/test_udr_jsonld.py|ma_poc/tests/scripts/test_availability_date_contract.py
16,UDR building-safe identity disconnects every source availability date,confirmed_remediated,complete_20_property_cohort,affected,udr,8179,Cambridge Woods,14138 Monterey Pines Dr,Tampa,FL,33613,https://www.udr.com/tampa-apartments/university-center/cambridge-woods/contact-us/,Join UDR dates by native apartment ID first; preserve all source dates and existing canonical IDs.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,814,ma_poc/tests/pms/adapters/test_udr_jsonld.py|ma_poc/tests/scripts/test_availability_date_contract.py
16,UDR building-safe identity disconnects every source availability date,confirmed_remediated,complete_20_property_cohort,affected,udr,12355,THIRTY377,3377 Blackburn St,Dallas,TX,75204,https://www.udr.com/dallas-apartments/uptown-dallas/thirty377/,Join UDR dates by native apartment ID first; preserve all source dates and existing canonical IDs.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,814,ma_poc/tests/pms/adapters/test_udr_jsonld.py|ma_poc/tests/scripts/test_availability_date_contract.py
16,UDR building-safe identity disconnects every source availability date,confirmed_remediated,complete_20_property_cohort,affected,udr,24366,Bay Terrace,3204 Casa De Campo Way,San Mateo,CA,94403,http://www.udr.com/san-francisco-bay-area-apartments/san-mateo/bay-terrace/,Join UDR dates by native apartment ID first; preserve all source dates and existing canonical IDs.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,814,ma_poc/tests/pms/adapters/test_udr_jsonld.py|ma_poc/tests/scripts/test_availability_date_contract.py
16,UDR building-safe identity disconnects every source availability date,confirmed_remediated,complete_20_property_cohort,affected,udr,26094,Garrison Square,7 Harcourt St,Boston,MA,2116,https://www.udr.com/boston-apartments/back-bay/garrison-square/,Join UDR dates by native apartment ID first; preserve all source dates and existing canonical IDs.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,814,ma_poc/tests/pms/adapters/test_udr_jsonld.py|ma_poc/tests/scripts/test_availability_date_contract.py
16,UDR building-safe identity disconnects every source availability date,confirmed_remediated,complete_20_property_cohort,affected,udr,30751,Commons at Windsor Gardens,624 Walpole St,Norwood,MA,2062,https://www.udr.com/boston-apartments/norwood/the-commons-at-windsor-gardens/,Join UDR dates by native apartment ID first; preserve all source dates and existing canonical IDs.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,814,ma_poc/tests/pms/adapters/test_udr_jsonld.py|ma_poc/tests/scripts/test_availability_date_contract.py
16,UDR building-safe identity disconnects every source availability date,confirmed_remediated,complete_20_property_cohort,affected,udr,36925,View 14,2303 14th St NW,Washington,DC,20009,http://www.view14.com/,Join UDR dates by native apartment ID first; preserve all source dates and existing canonical IDs.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,814,ma_poc/tests/pms/adapters/test_udr_jsonld.py|ma_poc/tests/scripts/test_availability_date_contract.py
16,UDR building-safe identity disconnects every source availability date,confirmed_remediated,complete_20_property_cohort,affected,udr,36972,The Kennedy Building,907 NE 45th St,Seattle,WA,98105,https://www.udr.com/seattle-apartments/downtown-seattle/the-kennedy-building/.,Join UDR dates by native apartment ID first; preserve all source dates and existing canonical IDs.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,814,ma_poc/tests/pms/adapters/test_udr_jsonld.py|ma_poc/tests/scripts/test_availability_date_contract.py
16,UDR building-safe identity disconnects every source availability date,confirmed_remediated,complete_20_property_cohort,affected,udr,37716,Ten20,10710 NE 10th St,Bellevue,WA,98004,https://www.udr.com/seattle-apartments/bellevue/ten20/,Join UDR dates by native apartment ID first; preserve all source dates and existing canonical IDs.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,814,ma_poc/tests/pms/adapters/test_udr_jsonld.py|ma_poc/tests/scripts/test_availability_date_contract.py
